benchmark,method,selector_penalty,n_features,features,n_obs,n_covered,coverage,accuracy,balanced_accuracy,balanced_accuracy_covered,brier_score,log_loss,precision,recall,base_rate,predicted_positive_rate,ece_10,production_eligible,benchmark_count
BND,elastic_net_consensus,elastic_net,12,pb_ratio|npw_per_pif_yoy|mortgage_spread_30y_10y|motor_vehicle_ins_cpi_yoy|combined_ratio_ttm|npw_growth_yoy|roe|credit_spread_hy|excess_bond_premium_proxy|real_yield_change_6m|npw_vs_npe_spread_pct|mom_6m,132,123,0.9318181818181818,0.7424242424242424,0.5401785714285714,0.5523785425101215,0.1829491632742674,0.5798186875196648,0.20833333333333334,0.25,0.15151515151515152,0.18181818181818182,0.14656706781105228,True,
BND,forward_stepwise,,4,yield_curvature|pgr_price_to_book_relative|usd_broad_return_3m|underwriting_margin_ttm,132,79,0.5984848484848485,0.7272727272727273,0.6339285714285714,0.7350746268656716,0.15455190564740057,0.47690006380026906,0.2777777777777778,0.5,0.15151515151515152,0.2727272727272727,0.1700268241043065,True,
BND,l1_consensus,l1,4,real_yield_change_6m|roe|excess_bond_premium_proxy|mom_12m,132,114,0.8636363636363636,0.7272727272727273,0.53125,0.5021224984839296,0.18793662071505948,0.5739123438196179,0.19230769230769232,0.25,0.15151515151515152,0.19696969696969696,0.1487716823565093,True,
BND,lean_baseline,,12,mom_12m|vol_63d|yield_slope|real_yield_change_6m|real_rate_10y|credit_spread_hy|nfci|vix|combined_ratio_ttm|investment_income_growth_yoy|book_value_per_share_growth_yoy|npw_growth_yoy,132,125,0.946969696969697,0.7348484848484849,0.5357142857142857,0.480119825708061,0.20225055194651473,0.6198831436412677,0.2,0.25,0.15151515151515152,0.1893939393939394,0.15686261773742788,True,
BND,ridge_full_pool_control,ridge,72,mom_3m|mom_6m|mom_12m|vol_63d|high_52w|pe_ratio|pb_ratio|roe|combined_ratio_ttm|monthly_combined_ratio_delta|pif_growth_yoy|gainshare_est|cr_acceleration|pif_growth_acceleration|channel_mix_agency_pct|npw_growth_yoy|npw_per_pif_yoy|npw_vs_npe_spread_pct|underwriting_income|underwriting_income_3m|underwriting_income_growth_yoy|underwriting_margin_ttm|unearned_premium_growth_yoy|unearned_premium_to_npw_ratio|roe_net_income_ttm|roe_trend|book_value_per_share_growth_yoy|pgr_premium_to_surplus|direct_channel_pif_share_ttm|channel_mix_direct_pct_yoy|unrealized_gain_pct_equity|investment_income_growth_yoy|investment_book_yield|duration_rate_shock_3m|buyback_yield|buyback_acceleration|yield_slope|yield_curvature|real_rate_10y|real_yield_change_6m|breakeven_inflation_10y|breakeven_momentum_3m|baa10y_spread|credit_spread_hy|nfci|vix|vmt_yoy|usd_broad_return_3m|usd_momentum_6m|wti_return_3m|mortgage_spread_30y_10y|term_premium_10y|legal_services_ppi_relative|gasoline_retail_sales_delta|used_car_cpi_yoy|medical_cpi_yoy|severity_index_yoy|ppi_auto_ins_yoy|motor_vehicle_ins_cpi_yoy|rate_adequacy_gap_yoy|auto_pricing_power_spread|pgr_vs_kie_6m|pgr_vs_peers_6m|pgr_vs_vfh_6m|vwo_vxus_spread_6m|gold_vs_treasury_6m|commodity_equity_momentum|credit_spread_ratio|excess_bond_premium_proxy|pgr_pe_vs_market_pe|pgr_price_to_book_relative|equity_risk_premium,132,106,0.803030303030303,0.7803030303030303,0.45982142857142855,0.4943820224719101,0.16692693187255306,0.5258121887244034,0.0,0.0,0.15151515151515152,0.06818181818181818,0.10859126789975546,False,
DBC,elastic_net_consensus,elastic_net,12,combined_ratio_ttm|underwriting_margin_ttm|real_yield_change_6m|rate_adequacy_gap_yoy|baa10y_spread|commodity_equity_momentum|npw_per_pif_yoy|real_rate_10y|ppi_auto_ins_yoy|npw_growth_yoy|investment_income_growth_yoy|credit_spread_hy,150,115,0.7666666666666667,0.8066666666666666,0.6626405166228175,0.560790273556231,0.16082624725442676,0.517275435982046,0.7,0.3783783783783784,0.24666666666666667,0.13333333333333333,0.09300357104383743,True,
DBC,forward_stepwise,,3,rate_adequacy_gap_yoy|pif_growth_yoy|underwriting_margin_ttm,150,124,0.8266666666666667,0.78,0.617675197321215,0.6392663043478262,0.19804183981934523,0.6344876498252892,0.6111111111111112,0.2972972972972973,0.24666666666666667,0.12,0.11559573395179355,True,
DBC,l1_consensus,l1,11,real_yield_change_6m|credit_spread_hy|vol_63d|baa10y_spread|direct_channel_pif_share_ttm|ppi_auto_ins_yoy|rate_adequacy_gap_yoy|underwriting_income_3m|combined_ratio_ttm|investment_income_growth_yoy|real_rate_10y,150,118,0.7866666666666666,0.7733333333333333,0.59507294905525,0.5402462121212122,0.16646601800931107,0.5225773617459605,0.6,0.24324324324324326,0.24666666666666667,0.1,0.07847682866935637,True,
DBC,lean_baseline,,12,mom_12m|vol_63d|yield_slope|real_yield_change_6m|real_rate_10y|credit_spread_hy|nfci|vix|combined_ratio_ttm|investment_income_growth_yoy|book_value_per_share_growth_yoy|npw_growth_yoy,150,135,0.9,0.7333333333333333,0.48672566371681414,0.49514563106796117,0.18992632953010868,0.5731476023326811,0.0,0.0,0.24666666666666667,0.02,0.09130464700406013,True,
DBC,ridge_full_pool_control,ridge,72,mom_3m|mom_6m|mom_12m|vol_63d|high_52w|pe_ratio|pb_ratio|roe|combined_ratio_ttm|monthly_combined_ratio_delta|pif_growth_yoy|gainshare_est|cr_acceleration|pif_growth_acceleration|channel_mix_agency_pct|npw_growth_yoy|npw_per_pif_yoy|npw_vs_npe_spread_pct|underwriting_income|underwriting_income_3m|underwriting_income_growth_yoy|underwriting_margin_ttm|unearned_premium_growth_yoy|unearned_premium_to_npw_ratio|roe_net_income_ttm|roe_trend|book_value_per_share_growth_yoy|pgr_premium_to_surplus|direct_channel_pif_share_ttm|channel_mix_direct_pct_yoy|unrealized_gain_pct_equity|investment_income_growth_yoy|investment_book_yield|duration_rate_shock_3m|buyback_yield|buyback_acceleration|yield_slope|yield_curvature|real_rate_10y|real_yield_change_6m|breakeven_inflation_10y|breakeven_momentum_3m|baa10y_spread|credit_spread_hy|nfci|vix|vmt_yoy|usd_broad_return_3m|usd_momentum_6m|wti_return_3m|mortgage_spread_30y_10y|term_premium_10y|legal_services_ppi_relative|gasoline_retail_sales_delta|used_car_cpi_yoy|medical_cpi_yoy|severity_index_yoy|ppi_auto_ins_yoy|motor_vehicle_ins_cpi_yoy|rate_adequacy_gap_yoy|auto_pricing_power_spread|pgr_vs_kie_6m|pgr_vs_peers_6m|pgr_vs_vfh_6m|vwo_vxus_spread_6m|gold_vs_treasury_6m|commodity_equity_momentum|credit_spread_ratio|excess_bond_premium_proxy|pgr_pe_vs_market_pe|pgr_price_to_book_relative|equity_risk_premium,150,130,0.8666666666666667,0.7266666666666667,0.5095670892131069,0.5099968759762574,0.1980046111716711,0.5899455305932398,0.3,0.08108108108108109,0.24666666666666667,0.06666666666666667,0.07648310977234077,False,
